"","Pollutant","num_impairements"
"1","Temperature",149
"2","Dissolved Oxygen",52
"3","E. coli",26
"4","BioCriteria",22
"5","pH",22
"6","Enterococci",11
"7","Arsenic, Inorganic",6
"8","Zinc ",6
"9","DDD 4,4'",4
"10","DDE 4,4'",4
"11","Harmful Algal Blooms",4
"12","Iron (total) ",3
"13","Chlorophyll-a",2
"14","DDT 4,4'",2
"15","Mercury (total) ",2
"16","Turbidity",2
"17","Chlordane ",1
"18","Chloride ",1
"19","Dieldrin ",1
"20","Lead ",1
"21","Methylmercury ",1
"22","Sedimentation",1
