"","Pollutant","num_impairements"
"1","Temperature",116
"2","Dissolved Oxygen",49
"3","E. coli",25
"4","BioCriteria",23
"5","pH",21
"6","Enterococci",11
"7","Harmful Algal Blooms",9
"8","Arsenic, Inorganic",6
"9","Zinc ",6
"10","DDD 4,4'",4
"11","DDE 4,4'",4
"12","DDT 4,4'",2
"13","Iron (total) ",2
"14","Mercury (total) ",2
"15","Turbidity",2
"16","Chlordane ",1
"17","Chloride ",1
"18","Chlorophyll-a",1
"19","Dieldrin ",1
"20","Lead ",1
"21","Methylmercury ",1
